E[1] [eV],Im(eps)_nk_6,Im(eps)_nk_8,Im(eps)_nk_10,Im(eps)_nk_12,Im(eps)_nk_14,Im(eps)_nk_16,Im(eps)_nk_18
8.233082,0.95061600,1.01635300,0.93790900,0.97868600,0.97182500,0.96196800,0.96315700
8.270677,0.96307800,1.02040900,0.93184700,0.95158100,0.97161100,0.95813900,0.95249800
8.308270,0.94615800,0.99378600,0.91436900,0.91914500,0.96053800,0.94300700,0.93638900
8.345864,0.91707200,0.95513400,0.89201000,0.90262900,0.93459500,0.92129200,0.91531700
8.383458,0.91770200,0.91732300,0.88586300,0.89725800,0.89850800,0.90425300,0.89708800
8.421052,0.93343800,0.88552200,0.89558300,0.88452700,0.86819100,0.89241000,0.88437800
8.458646,0.92131200,0.85738400,0.90350000,0.85720300,0.85448800,0.87690900,0.87224600
8.496240,0.88441200,0.83018300,0.90335400,0.83391000,0.85267800,0.85582400,0.86003400
8.533834,0.84613000,0.80468600,0.89181400,0.82767800,0.84854700,0.83556800,0.84944100
8.571428,0.81850700,0.79411000,0.86702200,0.83287300,0.83379400,0.82588900,0.83788400
8.609021,0.80543200,0.79890100,0.84113000,0.84425300,0.81578900,0.82246500,0.82395000
8.646616,0.78922500,0.80364400,0.81802100,0.85235100,0.80956300,0.81587000,0.81018900
8.684210,0.75128600,0.80168500,0.78134500,0.83748200,0.81413500,0.80716700,0.79909600
8.721804,0.70471600,0.79934300,0.73604700,0.79843600,0.80189400,0.79308600,0.78659800
8.759398,0.66384200,0.79349100,0.70367100,0.74964600,0.76315100,0.76482000,0.76170300
8.796992,0.64178200,0.77531900,0.69237600,0.70740100,0.72015800,0.72842900,0.72852700
8.834586,0.64260700,0.73320000,0.69205200,0.67539500,0.68729300,0.69063200,0.69593700
8.872180,0.64432100,0.67167800,0.68679900,0.64720800,0.65980100,0.65205600,0.66167000
8.909773,0.62441300,0.60980500,0.66287400,0.61993500,0.63043400,0.61918400,0.62517300
8.947368,0.59693900,0.56503200,0.62449500,0.59422000,0.60034500,0.59530600,0.59286900
8.984962,0.58162500,0.53838700,0.58521800,0.57252200,0.57326200,0.57682800,0.56899800
9.022555,0.58038100,0.52419700,0.55667400,0.55863700,0.55313900,0.56105200,0.55508400
9.060150,0.58461900,0.52383600,0.54214400,0.55451900,0.54065600,0.54912500,0.54770000
9.097744,0.58190200,0.53560500,0.53645100,0.55218200,0.53452100,0.54220100,0.54278300
9.135338,0.57460000,0.54863400,0.53258000,0.54640800,0.53649200,0.53954700,0.54118500
9.172933,0.57536900,0.55482400,0.52854200,0.54248700,0.54441600,0.54066200,0.54298000
9.210526,0.58394100,0.55603100,0.53070200,0.54407000,0.55324900,0.54489500,0.54705200
9.248120,0.59122700,0.56060600,0.54281600,0.55308700,0.56144600,0.55398900,0.55567300
9.285713,0.59732900,0.57357600,0.56349300,0.57012100,0.57257100,0.56868700,0.57113900
9.323307,0.60891300,0.59662700,0.59333100,0.59220600,0.59155700,0.59048600,0.59185000
9.360902,0.62398800,0.62749200,0.63164800,0.61590100,0.61738100,0.62030700,0.61722300
9.398496,0.63832800,0.65693500,0.67046200,0.64330300,0.64562400,0.65197000,0.64716100
9.436090,0.65376800,0.68158200,0.69517500,0.67440300,0.67552900,0.68028400,0.67686100
9.473684,0.67294400,0.70308400,0.70341700,0.69944900,0.70156200,0.70148100,0.70132300
9.511277,0.69429600,0.71317600,0.70551800,0.71188000,0.71434800,0.71093800,0.71408000
9.548872,0.70740000,0.70775100,0.70357800,0.71259100,0.71138600,0.70850700,0.71215400
9.586466,0.70227800,0.69347500,0.69588000,0.70366400,0.69790700,0.69850300,0.70012400
9.624060,0.67722200,0.67857900,0.68095200,0.68567500,0.68065300,0.68326200,0.68213400
9.661654,0.64789000,0.66360100,0.66350100,0.66478900,0.66193000,0.66396900,0.66168100
9.699247,0.63083200,0.64525500,0.64731000,0.64728900,0.64536800,0.64569300,0.64465300
9.736841,0.62519400,0.63033700,0.63250100,0.63460700,0.63538700,0.63314100,0.63368600
9.774436,0.62474100,0.62625300,0.62106500,0.62728500,0.62963800,0.62640900,0.62702300
9.812029,0.62945800,0.62835400,0.61941000,0.62514700,0.62633100,0.62550200,0.62560500
9.849624,0.64209700,0.63367000,0.62959700,0.63004400,0.63112100,0.63251100,0.63257600
9.887218,0.66261600,0.64808800,0.64815700,0.64571100,0.64721000,0.64850700,0.64852000
9.924811,0.68698500,0.67190400,0.67141100,0.66823000,0.67041400,0.67000300,0.67064000
9.962406,0.71460400,0.69247600,0.69210200,0.69024400,0.69129600,0.68988600,0.69102500
9.999999,0.72605300,0.69796200,0.70289700,0.70130800,0.70008900,0.70011700,0.69979200
