E[1] [eV],Re(eps)_nk_6,Re(eps)_nk_8,Re(eps)_nk_10,Re(eps)_nk_12,Re(eps)_nk_14,Re(eps)_nk_16,Re(eps)_nk_18
9.962406,1.04997100,1.04744600,1.05425300,1.05295200,1.05086100,1.05134500,1.05054700
9.999999,1.01734500,1.03117800,1.04103000,1.03716400,1.03563200,1.03790100,1.03572300
10.037590,0.99126200,1.02324200,1.02929100,1.02420300,1.02552500,1.02678500,1.02599700
10.075190,0.99189800,1.02520200,1.01961200,1.02299500,1.02578900,1.02360400,1.02535300
10.112780,1.00820700,1.02862400,1.01551500,1.03000000,1.02887800,1.02454100,1.02713700
10.150380,1.02791100,1.03343100,1.02000500,1.03575100,1.02739700,1.02588700,1.02862600
10.187970,1.04197400,1.04119800,1.02897700,1.03513600,1.02627300,1.02984300,1.03041000
10.225560,1.04362500,1.04695000,1.03756100,1.03245100,1.03302600,1.03719200,1.03346200
10.263160,1.03996400,1.04794200,1.04619900,1.03454800,1.04323000,1.04420900,1.03914500
10.300750,1.03893000,1.04474300,1.05374600,1.03961800,1.04922500,1.04743700,1.04621600
10.338350,1.04205900,1.04265800,1.05347600,1.04416900,1.05110700,1.04802600,1.05203100
10.375940,1.05349800,1.04462200,1.04586200,1.04949900,1.05085500,1.04849200,1.05232600
10.413530,1.07568000,1.04442400,1.03974700,1.05257200,1.04815700,1.04711800,1.04767700
10.451130,1.09816600,1.04234400,1.04107700,1.05212300,1.04342800,1.04465100,1.04320900
10.488720,1.10154700,1.04686500,1.04653400,1.05129500,1.04139600,1.04502000,1.04277800
10.526310,1.08172300,1.05286800,1.04902700,1.04927200,1.04417800,1.04780200,1.04581900
10.563910,1.05329100,1.04794000,1.04697300,1.04543700,1.04823700,1.04898500,1.04911900
10.601500,1.02493700,1.03261000,1.04480500,1.03956700,1.04848700,1.04579000,1.04928400
10.639100,1.00203000,1.01759300,1.04310500,1.03199400,1.04099800,1.03762500,1.03985400
10.676690,0.99034900,1.00812200,1.03429300,1.02309500,1.02719000,1.02572200,1.02309900
10.714280,0.99630700,1.00731300,1.01859200,1.01576800,1.01428100,1.01392000,1.01239400
10.751880,1.01339200,1.01823000,1.00800300,1.01321300,1.00918700,1.00914000,1.01066600
10.789470,1.02601100,1.03398500,1.00968300,1.01537800,1.01216800,1.01465800,1.01380700
10.827070,1.02778400,1.04214000,1.01753300,1.02331300,1.01975400,1.02481300,1.02211500
10.864660,1.02361800,1.03995200,1.02285000,1.03225000,1.02927400,1.03040700,1.03071500
10.902250,1.01642400,1.03370100,1.02587400,1.03391900,1.03427100,1.03027800,1.03212300
10.939850,1.01054500,1.02272500,1.02452900,1.02508500,1.02849400,1.02421400,1.02632000
10.977440,1.00012800,1.00317300,1.01296300,1.00818400,1.01041200,1.00717500,1.01041400
11.015040,0.96920300,0.98023200,0.98607600,0.98258700,0.98140300,0.98065500,0.98133800
11.052630,0.92002700,0.94818800,0.94527900,0.94522100,0.94131000,0.94556300,0.94157200
11.090220,0.86418700,0.90227900,0.90024500,0.90068300,0.89617900,0.90276400,0.89742400
11.127820,0.82832100,0.85952800,0.86478200,0.86029300,0.85873700,0.86180400,0.85932000
11.165410,0.82960000,0.83602600,0.84041200,0.83122000,0.83573700,0.83432900,0.83640000
11.203010,0.84870600,0.82705200,0.82385200,0.81551300,0.82502200,0.82165300,0.82594200
11.240600,0.86450300,0.81896600,0.81537700,0.81356600,0.82081200,0.81638900,0.81876500
11.278190,0.86370600,0.80802400,0.81486400,0.81730000,0.81714200,0.81412100,0.81455400
11.315790,0.83830900,0.80101500,0.81723900,0.81804500,0.81358300,0.81436300,0.81476400
11.353380,0.80602400,0.80049600,0.81859200,0.81647600,0.81284200,0.81617500,0.81572200
11.390980,0.79517000,0.80685500,0.81937400,0.81796300,0.81647600,0.81812900,0.81572000
11.428570,0.80339000,0.81989100,0.81897400,0.82385500,0.82232200,0.81996000,0.81818100
11.466160,0.80908800,0.83547400,0.81614700,0.82938400,0.82539000,0.82308500,0.82291100
11.503760,0.80316300,0.84832900,0.81436400,0.82964100,0.82408600,0.82662500,0.82616900
11.541350,0.79182800,0.85356100,0.81873600,0.82499500,0.82279700,0.82921900,0.82835700
11.578950,0.78546200,0.84686900,0.82514100,0.82030000,0.82415300,0.82927200,0.82879800
11.616540,0.79284600,0.83142900,0.82401600,0.81750800,0.82488300,0.82451300,0.82467500
11.654130,0.81557900,0.81320100,0.81700500,0.81423500,0.82278400,0.81514300,0.81688900
11.691730,0.84161400,0.79577200,0.80956600,0.80883000,0.81538900,0.80438500,0.80748400
11.729320,0.86028100,0.78097700,0.80431300,0.80186900,0.80244800,0.79519300,0.79981400
11.766920,0.87364500,0.77267500,0.79966900,0.79859300,0.78956100,0.79020800,0.79430300
11.804510,0.88136200,0.77547700,0.79358400,0.79933200,0.78456600,0.79257000,0.79126700
11.842100,0.87732400,0.78305200,0.79324200,0.79859400,0.78778000,0.79907400,0.79260200
11.879700,0.86201200,0.78879900,0.80042500,0.79715800,0.79475200,0.80443000,0.79767800
11.917290,0.83839100,0.79643300,0.80896900,0.79937200,0.80363200,0.80812700,0.80308900
11.954890,0.81658300,0.80863200,0.81774100,0.80580300,0.81244200,0.81171300,0.80815400
11.992480,0.80285400,0.81706200,0.82166600,0.81041200,0.81837100,0.81305400,0.81237800
12.030070,0.79516500,0.81437500,0.81570600,0.80803500,0.81822700,0.80776100,0.81272500
12.067670,0.78440100,0.80405500,0.79836300,0.79810900,0.80719700,0.79401100,0.80419500
12.105260,0.76166000,0.78788700,0.77101300,0.78037500,0.78429100,0.77363800,0.78585400
12.142860,0.72871000,0.76299900,0.74538300,0.75822000,0.75566400,0.75330200,0.76151900
12.180450,0.69583800,0.73789100,0.73420500,0.73984700,0.73170200,0.74046900,0.73800300
12.218040,0.66838800,0.72354300,0.73472300,0.72697800,0.71837700,0.73490800,0.71986300
12.255640,0.65026800,0.71968700,0.73117400,0.71603800,0.71189000,0.72548000,0.70821800
12.293230,0.64342400,0.71782400,0.71433500,0.70409600,0.70589200,0.70745800,0.70179200
