E[1] [eV],Re(eps)_nbnd_90,Re(eps)_nbnd_100,Re(eps)_nbnd_110,Re(eps)_nbnd_120,Re(eps)_nbnd_140,Re(eps)_nbnd_160
13.909770,0.57931500,0.59982200,0.61158100,0.61907100,0.62845000,0.63412400
13.947370,0.58028400,0.60100100,0.61283200,0.62035500,0.62976200,0.63545500
13.984960,0.57790600,0.59885400,0.61074800,0.61829500,0.62774200,0.63345500
14.022560,0.57599400,0.59718500,0.60914300,0.61671200,0.62620300,0.63193600
14.060150,0.57471400,0.59614500,0.60817200,0.61577500,0.62530100,0.63104900
14.097740,0.57308700,0.59475500,0.60685800,0.61450600,0.62406300,0.62982000
14.135340,0.57117400,0.59309300,0.60527500,0.61296400,0.62255200,0.62832000
14.172930,0.56803900,0.59023300,0.60249400,0.61022400,0.61983600,0.62562200
14.210530,0.56452200,0.58700600,0.59935600,0.60712400,0.61676000,0.62255700
14.248120,0.56292000,0.58570800,0.59815100,0.60595000,0.61562300,0.62142200
14.285710,0.56363300,0.58673600,0.59926800,0.60709500,0.61680800,0.62261800
14.323310,0.56574000,0.58915500,0.60177600,0.60963900,0.61938300,0.62521200
14.360900,0.56820000,0.59191800,0.60462600,0.61253100,0.62230400,0.62815700
14.398490,0.56867200,0.59267000,0.60545900,0.61341300,0.62321900,0.62909200
14.436090,0.56557200,0.58977100,0.60264300,0.61064300,0.62049100,0.62637700
14.473680,0.55927400,0.58356900,0.59653500,0.60457800,0.61446200,0.62035900
14.511280,0.55178600,0.57614200,0.58921100,0.59729900,0.60721800,0.61312100
14.548870,0.54510200,0.56962400,0.58279100,0.59092200,0.60087800,0.60679200
14.586460,0.54015000,0.56498800,0.57825300,0.58642200,0.59641400,0.60234500
14.624060,0.53722000,0.56243200,0.57579700,0.58400400,0.59403000,0.59998500
14.661650,0.53621900,0.56172800,0.57519500,0.58344700,0.59350500,0.59948300
14.699250,0.53756600,0.56326100,0.57682900,0.58513000,0.59522100,0.60121900
14.736840,0.54072700,0.56658800,0.58025200,0.58860500,0.59873400,0.60474800
14.774440,0.54339900,0.56949700,0.58326200,0.59166000,0.60182900,0.60786400
14.812030,0.54282100,0.56923800,0.58311900,0.59155800,0.60176200,0.60782200
14.849620,0.53903700,0.56582600,0.57983600,0.58831700,0.59855900,0.60463500
14.887220,0.53522300,0.56239900,0.57653500,0.58506400,0.59535300,0.60143600
14.924810,0.53250700,0.56003100,0.57428600,0.58286600,0.59320500,0.59929400
14.962400,0.53010100,0.55793000,0.57230500,0.58093800,0.59131800,0.59742100
15.000000,0.52958700,0.55770600,0.57220300,0.58089000,0.59131100,0.59743000
15.037590,0.53111300,0.55953900,0.57416100,0.58290300,0.59336800,0.59950400
15.075190,0.53259000,0.56134200,0.57609300,0.58488800,0.59539800,0.60155400
15.112780,0.53218600,0.56124900,0.57613500,0.58497900,0.59553400,0.60171000
15.150370,0.52907100,0.55838100,0.57341000,0.58229900,0.59290200,0.59910200
15.187970,0.52568000,0.55512200,0.57029800,0.57923700,0.58988500,0.59611000
15.225560,0.52432200,0.55373600,0.56906900,0.57806800,0.58874900,0.59499400
15.263160,0.52476700,0.55408900,0.56958200,0.57864300,0.58935700,0.59561700
15.300750,0.52561100,0.55499100,0.57064600,0.57976900,0.59052600,0.59680200
15.338350,0.52536100,0.55500800,0.57082800,0.58001200,0.59082200,0.59711600
15.375940,0.52376500,0.55377000,0.56976000,0.57900400,0.58986900,0.59618400
15.413530,0.52207700,0.55246700,0.56863300,0.57793700,0.58885000,0.59518600
15.451130,0.52270500,0.55343000,0.56978600,0.57915000,0.59011000,0.59646300
15.488720,0.52694200,0.55786800,0.57442100,0.58384900,0.59485800,0.60122800
15.526320,0.53258300,0.56352800,0.58028800,0.58977600,0.60083800,0.60722700
15.563910,0.53705100,0.56785900,0.58484000,0.59438600,0.60549900,0.61190600
15.601500,0.54088200,0.57156000,0.58877600,0.59838400,0.60954800,0.61597100
15.639100,0.54491500,0.57573100,0.59319000,0.60286600,0.61407900,0.62052100
15.676690,0.54810600,0.57933600,0.59704400,0.60679500,0.61805300,0.62451900
15.714280,0.54923400,0.58093200,0.59890300,0.60872700,0.62003700,0.62652600
15.751880,0.54919900,0.58124100,0.59949600,0.60939100,0.62075800,0.62726800
15.789470,0.55060200,0.58284300,0.60140200,0.61137100,0.62279800,0.62932700
15.827070,0.55352200,0.58603900,0.60492400,0.61496800,0.62645600,0.63300400
15.864660,0.55543400,0.58849200,0.60771500,0.61783600,0.62937900,0.63594600
15.902260,0.55549400,0.58922100,0.60876500,0.61896500,0.63056100,0.63715000
15.939850,0.55523700,0.58961600,0.60943900,0.61972200,0.63136800,0.63798300
15.977440,0.55621800,0.59130600,0.61137900,0.62174600,0.63344100,0.64008700
16.015040,0.55859900,0.59447300,0.61477100,0.62522500,0.63697800,0.64364700
16.052630,0.56227400,0.59890900,0.61938300,0.62992300,0.64174000,0.64842800
16.090230,0.56628500,0.60366700,0.62425900,0.63488700,0.64676700,0.65347600
16.127820,0.56922900,0.60743700,0.62814100,0.63885700,0.65080400,0.65753200
16.165410,0.57089500,0.61007200,0.63096600,0.64177500,0.65378700,0.66053500
16.203010,0.57249800,0.61273300,0.63389300,0.64479900,0.65687300,0.66364800
16.240600,0.57500700,0.61625500,0.63768300,0.64868500,0.66082100,0.66762300
16.278190,0.57636800,0.61849500,0.64014100,0.65124200,0.66344100,0.67026800
16.315790,0.57490100,0.61781600,0.63961400,0.65082100,0.66308200,0.66993300
16.353380,0.57124200,0.61498000,0.63684400,0.64816100,0.66048100,0.66735800
16.390980,0.56591600,0.61055700,0.63238100,0.64381000,0.65619400,0.66309800
16.428570,0.56005700,0.60565300,0.62732600,0.63886700,0.65131900,0.65825200
16.466160,0.55633900,0.60284700,0.62427900,0.63593700,0.64846000,0.65541900
16.503760,0.55594000,0.60331600,0.62443300,0.63621400,0.64881500,0.65579300
16.541350,0.55732000,0.60556400,0.62631100,0.63822000,0.65089800,0.65789400
16.578950,0.55906700,0.60785600,0.62823600,0.64027500,0.65302700,0.66004600
16.616540,0.56067400,0.60953600,0.62967600,0.64185100,0.65467200,0.66172000
16.654130,0.56251300,0.61121000,0.63129500,0.64361200,0.65650400,0.66358300
16.691730,0.56491800,0.61350600,0.63361700,0.64608000,0.65905000,0.66615500
16.729320,0.56766700,0.61647000,0.63658800,0.64920200,0.66225500,0.66938500
16.766920,0.56984400,0.61906200,0.63920000,0.65197200,0.66510600,0.67226100
16.804510,0.57023800,0.61941400,0.63959100,0.65253100,0.66574400,0.67292700
16.842100,0.56828400,0.61657200,0.63686600,0.64997900,0.66327600,0.67048700
16.879700,0.56418200,0.61129600,0.63181300,0.64510700,0.65849000,0.66573000
16.917290,0.56086400,0.60732900,0.62810400,0.64158300,0.65505100,0.66232200
16.954890,0.56146400,0.60793900,0.62894700,0.64261600,0.65616800,0.66347000
16.992480,0.56573100,0.61259200,0.63384100,0.64770800,0.66134500,0.66867900
17.030080,0.57153100,0.61891900,0.64042800,0.65451200,0.66823600,0.67559900
17.067670,0.57735200,0.62529500,0.64703500,0.66135400,0.67517000,0.68256200
17.105260,0.58299200,0.63108600,0.65304200,0.66760100,0.68151600,0.68893500
17.142850,0.58813500,0.63556700,0.65774300,0.67255100,0.68656300,0.69401200
17.180450,0.59041300,0.63642400,0.65887800,0.67393700,0.68804800,0.69552800
17.218040,0.58745800,0.63182500,0.65471900,0.67001600,0.68422800,0.69173800
17.255640,0.58084500,0.62375600,0.64726800,0.66275900,0.67707300,0.68461500
17.293230,0.57445800,0.61616200,0.64038900,0.65601200,0.67043000,0.67800300
17.330830,0.56992200,0.61052600,0.63547500,0.65122900,0.66574900,0.67335700
17.368420,0.56584400,0.60532000,0.63088000,0.64684500,0.66146900,0.66911000
17.406010,0.56162100,0.59993400,0.62595100,0.64217900,0.65691200,0.66458700
17.443610,0.55778900,0.59489300,0.62132900,0.63783400,0.65268200,0.66039000
17.481200,0.55496800,0.59086400,0.61784500,0.63464100,0.64960700,0.65734800
17.518800,0.55330900,0.58780900,0.61553700,0.63254500,0.64763000,0.65540400
17.556390,0.55294800,0.58537000,0.61400400,0.63096900,0.64617400,0.65398500
17.593980,0.55447900,0.58415000,0.61384300,0.63046700,0.64579600,0.65364300
17.631580,0.55823600,0.58488400,0.61578200,0.63195500,0.64741000,0.65529500
17.669170,0.56385200,0.58748500,0.61962700,0.63542200,0.65100800,0.65893000
17.706770,0.57026500,0.59118600,0.62450800,0.63998200,0.65570300,0.66366100
17.744360,0.57627300,0.59533900,0.62972900,0.64491600,0.66077700,0.66877200
17.781950,0.58095000,0.59918100,0.63453800,0.64955300,0.66556000,0.67358900
17.819550,0.58430200,0.60201400,0.63835500,0.65334700,0.66950200,0.67756900
17.857140,0.58687900,0.60376700,0.64107800,0.65610300,0.67241300,0.68051800
17.894740,0.58934200,0.60496400,0.64307500,0.65808000,0.67454500,0.68269200
17.932330,0.59189700,0.60589400,0.64467600,0.65960800,0.67623700,0.68442400
17.969920,0.59442300,0.60668000,0.64609200,0.66095300,0.67775300,0.68598000
18.007520,0.59737200,0.60808400,0.64802200,0.66285700,0.67983800,0.68810500
18.045110,0.60067100,0.61035800,0.65057200,0.66548000,0.68264800,0.69095800
18.082710,0.60392700,0.61302800,0.65312000,0.66820600,0.68556900,0.69392500
18.120300,0.60762500,0.61598500,0.65561600,0.67092600,0.68849600,0.69689800
18.157890,0.61229500,0.61955000,0.65846100,0.67398600,0.69177600,0.70022100
18.195490,0.61749700,0.62364700,0.66146300,0.67720700,0.69523400,0.70371800
18.233080,0.62264100,0.62774900,0.66433100,0.68032900,0.69860100,0.70712700
18.270680,0.62762800,0.63140800,0.66700700,0.68327000,0.70178400,0.71035500
18.308270,0.63260500,0.63471700,0.66948700,0.68599100,0.70472400,0.71334000
18.345860,0.63756600,0.63777000,0.67154100,0.68825800,0.70718400,0.71584600
18.383460,0.64205300,0.64009600,0.67250200,0.68939900,0.70852800,0.71723700
18.421050,0.64544300,0.64111700,0.67186800,0.68898400,0.70832800,0.71708500
18.458640,0.64820000,0.64171600,0.67087000,0.68830200,0.70783700,0.71664100
18.496240,0.65135400,0.64340600,0.67141200,0.68919600,0.70887300,0.71772900
18.533830,0.65524400,0.64634900,0.67398100,0.69212100,0.71188000,0.72078700
18.571430,0.65945900,0.64960300,0.67740000,0.69590100,0.71573600,0.72469300
18.609020,0.66342900,0.65259100,0.68040800,0.69925000,0.71923800,0.72824600
18.646610,0.66721200,0.65576100,0.68311300,0.70228000,0.72247600,0.73153400
18.684210,0.67112000,0.65969200,0.68615800,0.70575200,0.72614000,0.73525300
18.721800,0.67521900,0.66410000,0.68935800,0.70956300,0.73009300,0.73925900
18.759400,0.67938000,0.66820100,0.69204900,0.71302500,0.73364700,0.74286300
18.796990,0.68339000,0.67134000,0.69384700,0.71569700,0.73644000,0.74570900
18.834590,0.68722000,0.67350400,0.69505700,0.71786200,0.73880000,0.74812300
18.872180,0.69102300,0.67530500,0.69616400,0.71999700,0.74113400,0.75051500
18.909770,0.69484700,0.67692700,0.69690200,0.72179000,0.74302700,0.75247100
18.947370,0.69864000,0.67811600,0.69674500,0.72266300,0.74387900,0.75338500
18.984960,0.70250000,0.67928400,0.69618300,0.72306100,0.74424600,0.75381300
19.022560,0.70664400,0.68123300,0.69629700,0.72401500,0.74521500,0.75484200
19.060150,0.71099700,0.68385600,0.69707000,0.72546700,0.74671000,0.75639700
19.097740,0.71528800,0.68684100,0.69840300,0.72734600,0.74867000,0.75842200
19.135340,0.71917200,0.68998200,0.70026700,0.72975300,0.75120700,0.76102200
19.172930,0.72262100,0.69298500,0.70208500,0.73224800,0.75384200,0.76372100
19.210530,0.72590800,0.69593300,0.70385200,0.73471600,0.75640100,0.76634700
19.248120,0.72902800,0.69896500,0.70587100,0.73728000,0.75900200,0.76901700
19.285710,0.73180300,0.70188000,0.70801300,0.73977400,0.76155400,0.77163900
19.323310,0.73415100,0.70454300,0.71003700,0.74181700,0.76375000,0.77390800
19.360900,0.73620300,0.70714000,0.71195900,0.74336000,0.76551400,0.77574600
19.398490,0.73783700,0.70940100,0.71371200,0.74438300,0.76678500,0.77709200
19.436090,0.73889600,0.71117300,0.71544300,0.74507100,0.76774700,0.77812800
19.473680,0.73976500,0.71277700,0.71732800,0.74575800,0.76868700,0.77914500
19.511280,0.74068700,0.71421800,0.71903900,0.74615100,0.76926100,0.77979800
19.548870,0.74164600,0.71521700,0.72018700,0.74554100,0.76878600,0.77940500
19.586470,0.74303100,0.71591500,0.72110500,0.74437900,0.76780700,0.77851100
19.624060,0.74473100,0.71650200,0.72215600,0.74371900,0.76745100,0.77824100
19.661650,0.74617400,0.71718300,0.72325100,0.74399300,0.76808500,0.77896300
19.699250,0.74769100,0.71836100,0.72419100,0.74471300,0.76916400,0.78013300
19.736840,0.74954900,0.71997900,0.72473500,0.74489400,0.76970900,0.78076800
19.774440,0.75149900,0.72170600,0.72507000,0.74430500,0.76944200,0.78059300
19.812030,0.75377600,0.72388600,0.72626000,0.74419100,0.76962200,0.78086900
19.849620,0.75674200,0.72670900,0.72858000,0.74516700,0.77094000,0.78228400
19.887220,0.75985400,0.72924400,0.73074200,0.74602400,0.77224000,0.78368400
19.924810,0.76222600,0.73063600,0.73156600,0.74574000,0.77252900,0.78407800
19.962400,0.76414100,0.73151900,0.73180700,0.74537100,0.77279600,0.78445400
20.000000,0.76552800,0.73215600,0.73180700,0.74527100,0.77328300,0.78505300
